,Fecha,Evento,Categoría,Lugar,Dirección,Aforo,Población,C. postal,Provincia,Audiencia,Precio,Horario
,01/06/2018,"Billy Elliot, el Musical",SHOW,Nuevo Teatro Alcalá,"Calle de Jorge Juan, 62",1111,Madrid,28009,Madrid,Todos los publicos,"Desde 24,90 €",N/A
,01/06/2018,Exposición Permanente del Museo Sorolla,EXHIBITIONS,Museo Sorolla,"Paseo del General Martínez Campos, 37",3384,Madrid,28010,Madrid,Todos los públicos,,M - S 9:30 - 20:00 // D y festivos 10:00 - 15:00
,01/06/2018,Tres Miradas para Ampliar el Mundo,EXHIBITIONS,Museo ABC de Dibujo e Ilustración,"Amaniel, 29-31",3590,Madrid,28015,Madrid,Todos los publicos,Gratuito,N/A
,01/06/2018,Sala de Uniformes de Correos,EXHIBITIONS,Museo Postal y Telegráfico,"Calle Tapia de Casariego, 6",7598,Madrid,28023,Madrid,Todos los publicos,,N/A
,01/06/2018,Colección del Museo Cerralbo,EXHIBITIONS,Museo Cerralbo,"Calle Ventura Rodríguez, 17",7420,Madrid,28008,Madrid,Todos los públicos,,"M a S de 9.30 a 15 H; D y Fest., de 10 a 15 H. J (..."
,01/06/2018,Imago Regis. 500 Años de Monarquía Española en la Medalla,EXHIBITIONS,Museo Casa de la Moneda,C/ Doctor Esquerdo Nº 36,4306,Madrid,28009,Madrid,Todos los publicos,Grauito,N/A
,01/06/2018,Goya Fisonomista,EXHIBITIONS,Museo de la Real Academia de Bellas Artes de San F...,C/ de Alcalá 13,8870,Madrid,28014,Madrid,Todos los publicos,Gratuito,Mar-sab 10-14h y 17-20h. Dom-fes 10-14h. (Julio ...
,01/06/2018,El Real Gabinete de Historia Natural,EXHIBITIONS,MNCN Museo Nacional de Ciencias Naturales,"Calle José Gutiérrez Abascal, 2",1833,Madrid,28006,Madrid,Todos los públicos,Entrada general: Museo: 7 €Entrada reducida: (Es...,"Mar-Vier: 10:00-17:00 H Sáb, Dom y Festivos: 10:0..."
,01/06/2018,Cambio Climático: Comprender Para Sobrevivir,EXHIBITIONS,Planetario de Madrid,"Parque Tierno Galván, Av. del Planetario, 16",1952,Madrid,28045,Madrid,Todos los publicos,Gratuito,M a V de 17 a 19.45 H (Mañanas Reservadas a Escol...
,01/06/2018,En Residencia: Grupo de Estudios de Ecologías,OTHERS,Matadero Madrid,"Paseo de la Chopera, 14",4064,Madrid,28045,Madrid,Todos los publicos,,N/A
,01/06/2018,En Residencia: Cuidadoras de Sonidos. Frecuencias Médium,OTHERS,Matadero Madrid,"Paseo de la Chopera, 14",4461,Madrid,28045,Madrid,Todos los publicos,,N/A
,01/06/2018,Colección ABC,EXHIBITIONS,Museo ABC de Dibujo e Ilustración,"Amaniel, 29-31",9914,Madrid,28015,Madrid,Todos los públicos,Donación sugerida: 3 €,Martes a sábado de 11 a 20 horas Domingo de 10 a ...
,01/06/2018,Ruta Guiada el Madrid de Los Austrias,GUIDED_VISIT,Encuentro en la Puerta del Sol,Puerta del Sol,6587,Madrid,28013,Madrid,Todos los publicos,Desde 14.57 €,11:00
,01/06/2018,Amberia: El Ámbar de Iberia,EXHIBITIONS,Museo Geominero,"Calle de Ríos Rosas, 23",2991,Madrid,28003,Madrid,Todos los publicos,Gratuito,"L a D, Incluidos Festivos, de 9 a 14 H. Días 24, ..."
,01/06/2018,Aún lo Pueden Todo: 50 Años de Madelman. Una Mirada Antropológica a la Colección de José Manuel Cortés,EXHIBITIONS,Museo Nacional de Antropología,"Calle Alfonso XII, 68",4796,Madrid,28014,Madrid,Todos los publicos,Gratuito,"Mar-sab, 9:30-20h. Dom y fes, 10-15h."
,01/06/2018,Exposición Permanente: Nave Central >Andenes,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,5005,Madrid,28045,Madrid,Todos los publicos,Tarifa sábados y domingos: 3 € Tarifa lunes a v...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Juego De Pistas Y Actividades Interactivas: Los Mil Y Un Viajes,CHILDREN_ACTIVITIES,Museo Nacional de Antropología,"Calle Alfonso XII, 68",639,Madrid,28014,Madrid,6 - 10 años,,De martes a sábado de 9:30 a 20:00 horas Domingos...
,01/06/2018,Open Coworking,OTHERS,Fangaloka Space Coworking,"Plaza del Sol, 31 - Planta 2 - Ofic. 11",7580,"Combos, Los (arroyomolinos)",28938,Madrid,Todos los publicos,Gratuito,9:30 - 19:30
,01/06/2018,Jochen Lempert,EXHIBITIONS,Centro de Arte Dos de Mayo,"Av. de la Constitucion, 23",6381,Mostoles,28931,Madrid,Todos los publicos,Gratuito,11:00 - 21:00
,01/06/2018,Inauguración: Pintura Infantil,EXHIBITIONS,Centro Cultural Gabriel Celaya,Plaza de Fernando VI,8965,San Fernando De Henares,28830,Madrid,Todos los publicos,,18:30
,02/06/2018,Visita Guiada Iglesia de San Vicente Mártir,GUIDED_VISIT,Oficina de Turismo de Braojos de la Sierra,"Pza. de Calvo Sotelo, 1",5884,"Serna Del Monte, La",28737,Madrid,Todos los publicos,Gratuito,12:00 - 12:45
